https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_France,20/03/2020,,
Région,cas,morts,rétablis
Auvergne-Rhône-Alpes,1101,7,27
Bourgogne-Franche-Comté,770,20,8
Bretagne,346,3,0
Centre-Val de Loire,190,0,0
Corse,168,7,0
Grand Est,3006,61,0
Hauts-de-France,759,46,0
Ile-de-France,3818,11,5
Normandie,287,1,0
Nouvelle-Aquitaine,432,2,2
Occitanie,537,10,0
Pays de la Loire,190,1,4
Provence-Alpes-Côte d’Azur,826,7,1
Total Métropole,12459,176,47
Guadeloupe,51,0,0
Saint-Barthélémy,3,0,0
Saint-Martin,4,0,0
Guyane,15,0,0
Martinique,32,1,0
Mayotte,7,0,0
La Réunion,38,0,0
Total Outre Mer,150,1,0
Total,12609,177,47

Comments,dead count is incorrect
